lastroad,nextroad,nexthome,lasthome,road,home,diff,count,firstroad,firsthome,firstdiff,secondroad,secondhome,seconddiff
1,1,2,2,96.1,99.88,-3.78,60,49.22,48.83,0.39,46.88,51.05,-4.17
1,1,2,345,96.81,100.4,-3.59,23,48.59,50.4,-1.81,48.22,50,-1.78
1,1,345,0,97.68,94.37,3.31,17,49.68,46.12,3.56,48,48.25,-0.25
1,1,345,1,95.58,99.28,-3.7,116,47.8,49.63,-1.83,47.78,49.65,-1.87
1,1,345,234,97.79,103.82,-6.02,30,48.62,51.1,-2.48,49.17,52.72,-3.55
1,2,0,1,97.03,98.3,-1.27,64,49,49.38,-0.38,48.03,48.92,-0.89
1,2,0,2,99.77,103.5,-3.73,19,50.88,51.05,-0.17,48.89,52.45,-3.56
1,2,0,345,98.85,104.71,-5.86,8,49.28,51.71,-2.43,49.57,53,-3.43
1,2,1,0,98.47,97.23,1.24,56,48.94,48.09,0.85,49.53,49.14,0.39
1,2,1,1,98.17,100.9,-2.73,298,49.1,50.5,-1.4,49.07,50.4,-1.33
1,2,1,2,100.37,102.49,-2.12,84,50.3,51.21,-0.91,50.07,51.28,-1.21
1,2,1,345,95.41,101.62,-6.21,25,47,49.75,-2.75,48.41,51.87,-3.46
1,2,2,0,94.25,94.08,0.17,25,48.41,47.16,1.25,45.84,46.92,-1.08
1,2,2,1,97.22,103.32,-6.1,94,48.29,51.35,-3.06,48.93,51.97,-3.04
1,2,2,2,98.28,99.11,-0.83,36,48.31,50.54,-2.23,49.97,48.57,1.4
1,2,2,345,93.62,96.5,-2.88,9,44.5,52,-7.5,49.12,44.5,4.62
1,2,345,0,101.36,98.9,2.46,12,50.36,50.9,-0.54,51,48,3
1,2,345,1,98.52,102.61,-4.09,22,47.95,52.19,-4.24,50.57,50.42,0.15
1,2,345,2,98.83,102,-3.17,7,50.33,48.5,1.83,48.5,53.5,-5
1,345,0,1,99.47,101.8,-2.33,22,49.23,51.76,-2.53,50.24,50.04,0.2
1,345,0,2,96.5,97,-0.5,7,50,49,1,46.5,48,-1.5
1,345,1,0,101.06,100.46,0.6,16,50.73,50.46,0.27,50.33,50,0.33
1,345,1,1,98.39,103.79,-5.4,65,50.2,52.32,-2.12,48.19,51.47,-3.28
1,345,1,2,96.05,102.15,-6.1,21,47.5,49.9,-2.4,48.55,52.25,-3.7
1,345,1,345,94.57,98.28,-3.71,8,50.57,47.57,3,44,50.71,-6.71
1,345,2,0,94.66,96.55,-1.89,10,47.33,48.11,-0.78,47.33,48.44,-1.11
1,345,2,1,98.45,105.77,-7.32,32,48.93,54,-5.07,49.52,51.77,-2.25
1,345,2,2,94.85,104.85,-10,8,46.71,53.42,-6.71,48.14,51.43,-3.29
1,345,2,345,101,89.6,11.4,6,46.8,44.6,2.2,54.2,45,9.2
1,345,345,0,101.37,95.37,6,9,51.75,47.37,4.38,49.62,48,1.62
1,345,345,1,95.6,96.84,-1.24,34,47.24,47.75,-0.51,48.36,49.09,-0.73
2,0,0,1,96.58,99.73,-3.15,174,48.06,51,-2.94,48.52,48.73,-0.21
2,0,0,2,95.63,97.88,-2.25,124,48.21,49.82,-1.61,47.42,48.06,-0.64
2,0,0,345,97.21,100.35,-3.14,15,48,51.21,-3.21,49.21,49.14,0.07
2,0,1,0,94.63,95.54,-0.91,84,46.96,47.66,-0.7,47.67,47.88,-0.21
2,0,1,1,97.3,102,-4.7,369,49.17,51.63,-2.46,48.13,50.37,-2.24
2,0,1,2,96.18,99.27,-3.09,148,48.76,49.52,-0.76,47.42,49.75,-2.33
