year,date,time,week,roadteam,roadfirst,roadsecond,roadfirsthalf,roadthird,roadforth,roadot,roadsecondhalf,roadtotal,awaylastfly,roadlast,roadnext,awaynextfly,hometeam,homefirst,homesecond,homefirsthalf,homethird,homeforth,homeot,homesecondhalf,hometotal,homenextfly,homenext,homelast,homelastfly,firstpoint,secondpoint,totalpoint,firstvalue,secondvalue,totalvalue,fgside,fglinetotal
1990,6-Nov,,Tue,Minnesota,34,21,55,24,17,0,41,96,NO,2,0,YES,Indiana,22,23,45,23,30,0,53,98,NO,2,2,YES,100,94,194,93.13,83.83,176.95,-9,195
1990,6-Nov,,Tue,Milwaukee,26,28,54,32,20,0,52,106,YES,2,1,YES,Miami,20,30,50,20,24,0,44,94,YES,1,3,NO,104,96,200,97.13,85.83,182.95,4,213.5
1990,6-Nov,,Tue,Atlanta,27,23,50,25,27,0,52,102,YES,2,2,NO,Sacramento,14,30,44,23,18,0,41,85,YES,2,2,NO,94,93,187,87.13,82.83,169.95,2,207
1990,6-Nov,,Tue,Denver,42,32,74,27,34,0,61,135,NO,2,0,NO,Houston,44,43,87,24,34,0,58,145,NO,1,2,YES,161,119,280,154.13,108.83,262.95,-14,278.5
1990,6-Nov,,Tue,Portland,23,38,61,24,32,8,56,117,NO,2,2,YES,LAL,27,28,55,28,34,6,62,117,NO,2,2,YES,116,118,234,109.13,107.83,216.95,-5.5,212.5
1990,6-Nov,,Tue,LAC,31,24,55,26,28,0,54,109,YES,1,0,YES,Golden State,30,30,60,37,33,0,70,130,YES,0,1,YES,115,124,239,108.13,113.83,221.95,-13,230
1990,7-Nov,,Wed,Dallas,27,25,52,19,33,0,52,104,NO,0,1,YES,Philadelphia,30,19,49,18,34,0,52,101,YES,0,3,NO,101,104,205,94.13,93.83,187.95,-8.5,206.5
1990,7-Nov,,Wed,Chicago,28,27,55,15,26,0,41,96,YES,0,1,NO,Minnesota,14,26,40,29,22,0,51,91,NO,1,0,YES,95,92,187,88.13,81.83,169.95,4,191.5
1990,7-Nov,,Wed,New Orleans,34,11,45,15,29,0,44,89,YES,0,1,NO,Cleveland,27,19,46,30,24,0,54,100,YES,1,0,YES,91,98,189,84.13,87.83,171.95,-11.5,210.5
1990,7-Nov,,Wed,Detroit,32,28,60,23,27,0,50,110,NO,0,1,NO,LAC,23,21,44,23,16,0,39,83,NO,2,0,YES,104,89,193,97.13,78.83,175.95,6.5,193.5
1990,7-Nov,,Wed,Denver,48,42,90,26,37,0,63,153,NO,0,1,YES,San Antonio,36,47,83,42,36,0,78,161,YES,0,3,NO,173,141,314,166.13,130.83,296.95,-17,274
1990,7-Nov,,Wed,Golden State,40,23,63,32,24,0,56,119,YES,0,1,YES,Phoenix,31,26,57,35,34,0,69,126,NO,2,3,NO,120,125,245,113.13,114.83,227.95,-12.5,0
1990,8-Nov,,Thu,Miami,25,21,46,27,30,0,57,103,YES,1,1,YES,Brooklyn,30,23,53,25,36,0,61,114,NO,1,1,YES,99,118,217,92.13,107.83,199.95,-5.5,203.5
1990,8-Nov,,Thu,Washington,33,31,64,22,17,0,39,103,YES,4,0,YES,New York,31,32,63,25,26,0,51,114,YES,1,1,NO,127,90,217,120.13,79.83,199.95,-11,214.5
1990,8-Nov,,Thu,Philadelphia,30,30,60,19,32,0,51,111,YES,0,1,NO,Milwaukee,33,36,69,41,31,0,72,141,YES,0,1,YES,129,123,252,122.13,112.83,234.95,-2.5,208.5
1990,8-Nov,,Thu,Orlando,17,31,48,30,21,0,51,99,YES,1,0,NO,Houston,29,23,52,25,26,0,51,103,YES,1,1,NO,100,102,202,93.13,91.83,184.95,-13,222.5
1990,8-Nov,,Thu,San Antonio,26,20,46,23,25,0,48,94,YES,0,1,YES,Utah,21,29,50,30,23,0,53,103,YES,2,4,YES,96,101,197,89.13,90.83,179.95,-8,205.5
1990,9-Nov,,Fri,Chicago,23,37,60,27,33,0,60,120,NO,1,0,YES,Boston,31,26,57,23,20,0,43,100,YES,0,2,YES,117,103,220,110.13,92.83,202.95,-4.5,224.5
1990,9-Nov,,Fri,Cleveland,27,28,55,22,30,0,52,107,YES,1,0,YES,Indiana,28,32,60,27,35,0,62,122,YES,0,2,NO,115,114,229,108.13,103.83,211.95,-4,205
1990,9-Nov,,Fri,Detroit,18,22,40,28,33,0,61,101,NO,1,3,YES,Portland,26,30,56,33,24,0,57,113,NO,1,2,YES,96,118,214,89.13,107.83,196.95,-3.5,203.5
