year,date,time,week,roadlast,roadnext,roadteam,roadmore,roadfirst,roadsecond,roadfirsthalf,roadthird,roadforth,roadot,homenext,homenextfly,homelast,homelastfly,hometeam,homemore,homefirst,homesecond,homefirsthalf,homethird,homeforth,homeot,homediff,roadtotal,hometotal,total,firstpoint,secondpoint,totalpoint,firstlinetotal,secondlinetotal,fglinetotal,firstside,secondside,fgside,awaylastfly,awaynextfly,away_win_rank,away_ppg_rank,away_oppppg_rank,home_win_rank,home_ppg_rank,home_oppppg_rank,hometeamlastgame,roadteamlastgame,pace,away_ortg,home_ortg,away_last_home,away_next_home,offset_one,offset_two,firstvalue,secondvalue,totalvalue,first_half_bigger,second_half_bigger,fullgame_bigger
2018,27-Mar,07:00PM,Tue,1,1,San Antonio,CENTRAL,24,21,45,21,40,0,1,YES,1,NO,Washington,EASTERN,21,38,59,29,28,0,14,106,116,222,104,118,222,97.5,103.5,202,0.5,4.5,2,NO,YES,11,28,30,14,13,17,NO,NO,97.4,108.8,119.1,3,1,-6.52,-5.84,97.48,112.16,209.64,HOME,HOME,HOME
2018,27-Mar,07:30PM,Tue,0,2,Denver,MOUNTAIN,23,35,58,27,25,0,3,YES,1,NO,Toronto,EASTERN,25,33,58,24,32,0,0,110,114,224,116,108,224,115,109.5,223.5,-4.5,-5,-8,NO,NO,16,6,9,2,3,21,NO,NO,92.9,118.4,122.7,11,4,-6.52,-5.84,109.48,102.16,211.64,AWAY,AWAY,AWAY
2018,27-Mar,08:00PM,Tue,1,0,Cleveland,EASTERN,18,16,34,25,20,0,1,NO,1,YES,Miami,EASTERN,29,25,54,21,23,0,20,79,98,177,88,89,177,113.5,106.5,220,0.5,7,1.5,NO,NO,7,5,5,15,24,27,YES,NO,90.9,86.9,107.9,3,2,-6.52,-5.84,81.48,83.16,164.64,HOME,HOME,HOME
2018,27-Mar,07:00PM,Tue,2,1,Chicago,CENTRAL,23,16,39,18,29,0,2,NO,1,NO,Houston,CENTRAL,31,29,60,27,31,0,21,86,118,204,99,105,204,102.5,109.5,213,-8,-1,-13.5,NO,NO,24,25,4,1,2,22,NO,NO,99.6,86.3,118.4,3,4,-6.52,-5.84,92.48,99.16,191.64,HOME,HOME,HOME
2018,27-Mar,07:00PM,Tue,1,0,Portland,PACIFIC,20,26,46,25,36,0,2,YES,2,YES,New Orleans,CENTRAL,24,25,49,26,28,0,3,107,103,210,95,115,210,107,113,220.5,0.5,1.5,2,NO,NO,5,15,26,10,4,2,NO,NO,100.7,106.2,102.3,3,2,-6.52,-5.84,88.48,109.16,197.64,HOME,AWAY,AWAY
2018,27-Mar,07:00PM,Tue,2,0,Dallas,CENTRAL,25,28,53,22,28,0,1,NO,1,NO,Sacramento,PACIFIC,20,25,45,25,27,0,-8,103,97,200,98,102,200,103.5,101,204.5,-1.5,-3.5,-3,YES,NO,25,27,19,23,29,15,NO,NO,96.9,106.3,100.1,2,2,-6.52,-5.84,91.48,96.16,187.64,AWAY,AWAY,AWAY
2018,27-Mar,07:30PM,Tue,1,1,Indiana,EASTERN,18,21,39,29,24,0,1,NO,1,NO,Golden State,PACIFIC,27,21,48,22,11,0,9,92,81,173,87,86,173,101.5,99,200,4,9,8,YES,NO,6,17,24,3,1,14,NO,YES,86.6,106.3,93.6,1,8,-6.52,-5.84,80.48,80.16,160.64,HOME,AWAY,AWAY
2018,27-Mar,07:30PM,Tue,1,1,Milwaukee,CENTRAL,29,27,56,26,16,0,0,YES,1,YES,LAC,PACIFIC,35,27,62,16,27,0,6,98,105,203,118,85,203,115.5,110.5,226,-1.5,1,-3,YES,NO,18,16,16,17,8,10,NO,NO,98,100,107.1,1,6,-6.52,-5.84,111.48,79.16,190.64,HOME,HOME,HOME
2018,28-Mar,07:00PM,Wed,0,1,Cleveland,EASTERN,22,42,64,31,23,0,2,YES,1,NO,Charlotte,EASTERN,26,28,54,24,27,0,-10,118,105,223,118,105,223,116.5,109,225,-1,-4,-2,NO,YES,6,5,5,19,11,12,YES,NO,92.9,127,113,4,1,-6.52,-5.84,111.48,99.16,210.64,AWAY,AWAY,AWAY
2018,28-Mar,07:00PM,Wed,2,2,Brooklyn,EASTERN,36,22,58,27,26,0,1,NO,3,NO,Orlando,EASTERN,33,18,51,30,23,0,-7,111,104,215,109,106,215,104.5,110.5,215.5,1,-1,2.5,YES,NO,24,14,3,27,19,8,NO,NO,92.9,119.4,111.9,2,3,-6.52,-5.84,102.48,100.16,202.64,AWAY,AWAY,AWAY
2018,28-Mar,07:00PM,Wed,1,2,New York,EASTERN,28,35,63,17,21,0,1,YES,1,NO,Philadelphia,EASTERN,37,30,67,26,25,0,4,101,118,219,130,89,219,114,109.5,223,-8,-5.5,-13.5,NO,YES,22,18,11,8,9,18,NO,YES,106.9,94.5,110.4,4,2,-6.52,-5.84,123.48,83.16,206.64,AWAY,HOME,HOME
